Date,Text_Score,Sentence_Score,Net_Score,Political_Contestent,News_Agency
3/13/2015,0.171428571,0.5,0.328571429,Republicans,New York Times
3/12/2015,0,0,0,Republicans,New York Times
3/11/2015,0.666666667,0.5,0.166666667,Republicans,New York Times
3/10/2015,0.145454545,0.273809524,0.128354978,Republicans,New York Times
3/9/2015,-0.181818182,-0.258333333,-0.076515152,Republicans,New York Times
3/9/2015,0.381818182,0.358333333,0.023484848,Republicans,New York Times
3/7/2015,0.62962963,0.4,0.22962963,Republicans,New York Times
2/27/2015,-1,-1.166666667,-0.166666667,Republicans,New York Times
2/26/2015,-0.085714286,-1.444444444,-1.358730159,Republicans,New York Times
2/25/2015,-1.6,-2,-0.4,Republicans,New York Times
2/25/2015,0.111111111,0,0,Republicans,New York Times
2/25/2015,1,0.6,0.4,Republicans,New York Times
2/24/2015,-0.261904762,-0.289473684,-0.027568922,Republicans,New York Times
2/15/2015,-0.35,-0.972222222,-0.622222222,Republicans,New York Times
2/14/2015,0,0,0,Republicans,New York Times
2/11/2015,0,0,0,Republicans,New York Times
2/8/2015,-0.267857143,-0.067708333,-0.20014881,Republicans,New York Times
2/7/2015,0.795918367,0.410714286,0.385204082,Republicans,New York Times
2/6/2015,0.488372093,0.111111111,0.377260982,Republicans,New York Times
2/5/2015,0,0.333333333,0.333333333,Republicans,New York Times
2/4/2015,0,-1,-1,Republicans,New York Times
2/1/2015,0.931818182,0.891891892,0.03992629,Republicans,New York Times
1/31/2015,0.027777778,-0.145833333,-0.173611111,Republicans,New York Times
1/29/2015,0.52,0.979487179,0.459487179,Republicans,New York Times
1/29/2015,0.727272727,1.111111111,0.383838384,Republicans,New York Times
1/25/2015,0,0,0,Republicans,New York Times
1/25/2015,0.568181818,-0.041666667,-0.609848485,Republicans,New York Times
1/24/2015,-1.5,-2,-0.5,Republicans,New York Times
1/22/2015,0.538461538,0.596491228,0.05802969,Republicans,New York Times
1/21/2015,0,0,0,Republicans,New York Times
1/18/2015,0,0,0,Republicans,New York Times
1/16/2015,0.236842105,0.533333333,0.296491228,Republicans,New York Times
1/12/2015,-0.125,0.083333333,0.208333333,Republicans,New York Times
1/10/2015,0.08,0.266666667,0.186666667,Republicans,New York Times
1/8/2015,-0.4,-0.166666667,-0.233333333,Republicans,New York Times
1/7/2015,0.714285714,0.166666667,0.547619048,Republicans,New York Times
1/5/2015,0,0.655797101,0.655797101,Republicans,New York Times
1/4/2015,0,0,0,Republicans,New York Times
11/21/2015,3,0,0,Ben Carson,New York Times
3/29/2015,0,0,0,Ben Carson,New York Times
9/24/2015,0,0,0,Ben Carson,New York Times
6/26/2015,-1.5,0,0,Ben Carson,New York Times
3/29/2015,-1.142857143,0,0,Ben Carson,New York Times
2/24/2015,0,0,0,Ben Carson,New York Times
11/21/2015,1,2,1,Ben Carson,New York Times
11/23/2015,2,2,0,Ben Carson,New York Times
11/23/2015,-0.25,0,0,Ben Carson,New York Times
11/18/2015,0.5,0.5,0,Ben Carson,New York Times
11/11/2015,1.125,0.5,0.625,Ben Carson,New York Times
11/8/2015,-1.5,-1,-0.5,Ben Carson,New York Times
11/7/2015,-0.5,-0.1,-0.4,Ben Carson,New York Times
11/6/2015,1.666666667,1.5,0.166666667,Ben Carson,New York Times
11/3/2015,-0.2,-0.75,-0.55,Ben Carson,New York Times
11/1/2015,-0.5,-1,-0.5,Ben Carson,New York Times
10/30/2015,0,-1.666666667,-1.666666667,Ben Carson,New York Times
10/30/2015,0.8,-2,-2.8,Ben Carson,New York Times
10/29/2015,1.387096774,0.576086957,0.811009818,Ben Carson,New York Times
10/29/2015,1.2,1.125,0.075,Ben Carson,New York Times
10/28/2015,-1,-0.5,-0.5,Ben Carson,New York Times
10/28/2015,0,0,0,Ben Carson,New York Times
10/26/2015,-0.666666667,-1,-0.333333333,Ben Carson,New York Times
10/20/2015,0.4,1,0.6,Ben Carson,New York Times
10/15/2015,0,-0.083333333,-0.083333333,Ben Carson,New York Times
10/13/2015,0,0,0,Ben Carson,New York Times
